Number,Name,E-mail_Address,SMB_Host_Name,SMB_Port_Number,SMB_Path,SMB_Login_User_Name,SMB_Login_Password,FTP_Host_Name,FTP_Port_Number,FTP_Path,FTP_Login_User_Name,FTP_Login_Password,FAX_Number
1,John Doe,johndoe@example.com,host1,445,/path1,username1,password1,,,,,,
2,Jane Smith,,,,,,,ftp.host1,21,/ftp_path1,ftpuser1,ftppass1,
3,Bob Brown,bob.brown@example.com,host2,445,/path2,username2,password2,,,,,,
4,Alice Green,,,,,,,,,,,1234567890
5,Tom White,tom.white@example.com,,,,,,,ftp.host2,22,/ftp_path2,ftpuser2,ftppass2,
6,Emily Clark,,,,host3,445,/path3,username3,password3,ftp.host3,21,/ftp_path3,ftpuser3,ftppass3,9876543210
7,David Lee,david.lee@example.com,,,,,,,,,,,,
8,Nancy Hall,nancy.hall@example.com,host4,445,/path4,username4,password4,,,,,,
9,Chris Adams,,,,,,,ftp.host4,20,/ftp_path4,ftpuser4,ftppass4,1122334455
10,Patricia King,patricia.king@example.com,host5,445,/path5,username5,password5,ftp.host5,21,/ftp_path5,ftpuser5,ftppass5,5566778899
